id_eleccion,id_distrito,id_seccion,electores,total_votantes,votos_validos,votos_positivos,votos_blancos,votos_nulos,votos_recurridos,otros,partido_provincial,cambiemos,fdt
03,02,015,24767,17741,17366,14934,2432,316,59,,,,
03,02,016,83246,57450,56507,53768,2739,871,72,,,,
03,02,021,13386,9372,9296,7439,1857,58,18,,,,
03,02,022,27762,17238,16806,16172,634,381,51,,,,
03,02,023,7789,5511,5420,5213,207,59,32,,,,
03,02,024,21596,14621,14433,13597,836,188,0,,,,
03,02,025,13683,9488,9348,8069,1279,116,24,,,,
03,02,026,20321,13332,13081,10349,2732,220,31,,,,
03,02,027,50126,34147,33312,31016,2296,800,35,,,,
03,02,028,34574,22541,21501,19011,2490,900,140,,,,
03,02,029,42321,27410,27056,26063,993,323,31,,,,
03,02,030,34271,22957,22785,20938,1847,150,22,,,,
03,02,031,59022,40248,39714,35185,4529,498,36,,,,
03,02,032,14913,10054,9841,9389,452,187,26,,,,
03,02,033,24756,17143,16869,15322,1547,239,35,,,,
03,02,034,54888,33810,33460,32065,1395,304,46,,,,
03,02,035,185140,119233,117964,113542,4422,1155,114,,,,
03,02,038,321579,186333,183924,174389,9535,2144,265,,,,
03,02,039,37030,24427,24033,23101,932,356,38,,,,
03,02,040,8794,5591,5553,5131,422,26,12,,,,
03,02,041,15108,10800,10702,10172,530,80,18,,,,
03,02,042,16218,11277,11114,9713,1401,141,22,,,,
03,02,043,2548,1891,1855,1783,72,32,4,,,,
03,02,044,9718,6736,6435,6070,365,281,20,,,,
03,02,045,13659,9870,9722,9189,533,131,17,,,,
